date,attributedSalesSameSku1d,campaignBiddingStrategy,unitsSoldClicks1d,attributedSalesSameSku7d,topOfSearchImpressionShare,attributedSalesSameSku14d,royaltyQualifiedBorrows,sales1d,sales7d,addToList,campaignRuleBasedBudgetAmount,attributedSalesSameSku30d,kindleEditionNormalizedPagesRoyalties14d,purchasesSameSku14d,spend,purchasesSameSku1d,campaignBudgetType,unitsSoldSameSku1d,campaignStatus,purchases1d,purchasesSameSku7d,unitsSoldSameSku7d,campaignBudgetAmount,purchases7d,unitsSoldSameSku30d,cost,costPerClick,unitsSoldClicks14d,campaignId,sales14d,clickThroughRate,sales30d,impressions,kindleEditionNormalizedPagesRead14d,campaignApplicableBudgetRuleName,purchasesSameSku30d,purchases14d,unitsSoldClicks30d,qualifiedBorrows,campaignBudgetCurrencyCode,purchases30d,campaignApplicableBudgetRuleId,clicks,campaignName,unitsSoldSameSku14d,unitsSoldClicks7d
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,44746662296786,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,bsd_f306w_jay.kim_0514,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,86109531301614,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,odm_bsd2_uk_f306w_jay.kim_0530,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,25.0,0,0,0.0,0.0,0,69841516373228,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,NBS1_gal 9_Glitter rose_Davidkim_0530,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,199752024530731,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,BSD2_Lcho_TMS24(handyhalterung auto = phrase)_0601,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,70.0,0,0,0.0,0.0,0,150324825736136,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,ads2_honor10_0605,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,224596970562302,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,BSD2_Lcho_A100(mauspad - Bid test)_0615,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,77502096388382,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,BSD2_Lcho_A103(mauspad - Bid test)_0615,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,30.0,0,0,0.0,0.0,0,24799324037064,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,bs1_c20ch_jay.kim_0618,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,96066952797945,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,bsd_F306w_jay.kim_0626,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,189453264702718,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,ads2_galaxya6_wallets_jinny_0705,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,133604901528006,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,bsd_c10i3_jay.kim_0704,0,0
