date,attributedDetailPageViewsClicks14d,attributedPurchases14d,adGroupId,advertiserName,productName,productCategory,productSubcategory,brandHaloAttributedPurchases14d,brandHaloUnitsSold14d,attributedNewToBrandSales14d,attributedAddToCartClicks14d,brandHaloNewToBrandPurchases14d,brandName,marketplace,brandHaloAttributedSales14d,campaignId,brandHaloNewToBrandUnitsSold14d,productAsin,productConversionType,attributedNewToBrandUnitsSold14d,brandHaloAttributedAddToCartClicks14d,attributedNewToBrandPurchases14d,unitsSold14d,productGroup,brandHaloNewToBrandSales14d,publisher,brandHaloDetailPageViewsClicks14d,attributedSales14d
20260301,1,0,GCX,Spigen DE Direct,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit Tesla Model 3 (2017-2023), Model Y (2020-2025), 15 Zoll, Installationsschablone, Matt, 9H gehärtes Glas, Anti-Fingerabdruck",0200 Wireless Accessories,295 GPS and Car Accessories,0,0,0,0,0,Spigen,AMAZON_DE,0,12_00_00_00_Branding_demkt,0,B084BNC3FG,Promoted,0,0,0,0,Wireless,0,Zendesk,0,0
20260301,0,0,Galaxy Brand Keyword,Spigen DE Direct,Spigen Ultra Hybrid Pro Hülle Kompatibel mit iPad Air 7. M3 (2025) / 6. M2 (2024) / 5. (2022) / 4. Generation (2020) 11 Zoll und 10.9 Zoll Case - Schwarz,1400 Wearables,1410 Smartwatches,0,0,0,0,0,Spigen,AMAZON_DE,0,DE_S24/S25 series_GA Search,0,B08R639177,Brand Halo,0,0,0,0,Wireless,0,Google Ads,1,0
20260301,0,0,12_00_00_00_DE_IG/FB_S26Teaser_SEONMIN_0224,Spigen DE Direct,Spigen Ultra Hybrid Pro Hülle Kompatibel Mit iPad Pro 12.9 Zoll Generation 6 2022 | 5 2021 mit Apple Pencil (2. Gen) Halter - Schwarz,900 Accessories,"927 Bags, sleeves, covers",0,0,0,0,0,Spigen,AMAZON_DE,0,12_00_00_00_DE_S26_MKT_SEONMIN_202602,0,B08XVMB1MW,Brand Halo,0,0,0,0,Pc,0,Instagram,1,0
20260301,0,0,12_00_00_00_DE_IG/FB_S26Teaser_SEONMIN_0224,Spigen DE Direct,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPad Pro 12.9 Zoll M2 (2022), iPad Pro 12.9 Zoll (2021/2020/2018), Kratzfest, 9H Härte Folie",,,0,0,0,0,0,Spigen,AMAZON_DE,0,12_00_00_00_DE_S26_MKT_SEONMIN_202602,0,B08YK3D63M,Brand Halo,0,1,0,0,Wireless,0,Instagram,3,0
20260301,0,0,S26_Announce,Spigen DE Direct,"Apple AirTag (1. Generation) - Finde und behalte Deine Sachen im Blick: Schlüssel, Geldbörsen, Gepäck, Rucksäcke und mehr. Einfaches Einrichten mit iPhone oder iPad. Austauschbare Batterie",1500 Navigation Electronics,1509 Smart Tracking,0,0,0,0,0,Apple,AMAZON_DE,0,"12_00_00_00_Instagram Story, Reels Ad _ demkt ",0,B0935DN1BN,Brand Halo,0,0,0,0,Wireless,0,Instagram,2,0
20260301,0,0,Google Ads_Search_RE,Spigen DE Direct,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 16e, iPhone 14, iPhone 13, iPhone 13 Pro, 2 Stück, Kratzfest, 9H Härte Folie",0900 Wireless Cases,0970 Screen Protectors,1,1,0,0,0,Spigen,AMAZON_DE,14.28,12_00_00_00_GoogleAds_DEMKT,0,B095RTJH1M,Brand Halo,0,1,0,0,Wireless,0,Google Adwords,6,0
20260301,0,0,12_00_00_00_DE_IG/FB_S26Teaser_SEONMIN_0224,Spigen DE Direct,Spigen Urban Fit Hülle Kompatibel Mit iPad Pro 12.9 Zoll Generation 6 2022 | 5 2021 mit Apple Pencil (2. Gen) Halter - Schwarz,900 Accessories,"927 Bags, sleeves, covers",0,0,0,0,0,Spigen,AMAZON_DE,0,12_00_00_00_DE_S26_MKT_SEONMIN_202602,0,B096495KV6,Brand Halo,0,1,0,0,Pc,0,Instagram,2,0
20260301,0,0,iPhone17,Spigen DE Direct,Spigen Rugged Armor Hülle Kompatibel mit Samsung Galaxy S22 -Schwarz,0900 Wireless Cases,0910 Cases,1,1,0,0,1,Spigen,AMAZON_DE,12.6,12_00_00_00_Instagram_LinkinBio_DEMKT,1,B09JFHQ443,Brand Halo,0,2,0,0,Wireless,12.6,Instagram,3,0
20260301,0,0,GA Search_Pixel10a,Spigen DE Direct,"Spigen AlignMaster Schutzfolie kompatibel mit Google Pixel 6, 2 Stück, Kratzfest, Kristallklar, 9H Härte Folie",0900 Wireless Cases,0970 Screen Protectors,0,0,0,0,0,Spigen,AMAZON_DE,0,12_11_01_09_A_Pixel 10a_GA Search_hyomi,0,B09LCMDH4G,Brand Halo,0,0,0,0,Wireless,0,Google Ads,1,0
20260301,0,0,Google Ads_Search_RE,Spigen DE Direct,"Spigen Glas.tR EZ Fit Optik Pro Kameraschutz kompatibel mit iPhone 17 Pro/Pro Max, iPhone 16 Pro/Pro Max, iPhone 15 Pro/Pro Max, 2 Stück, Schwarz, Individuelle Kameraprotektion, 9H Härte Folie",0900 Wireless Cases,0970 Screen Protectors,0,0,0,0,0,Spigen,AMAZON_DE,0,12_00_00_00_GoogleAds_DEMKT,0,B0B27WT562,Brand Halo,0,0,0,0,Wireless,0,Google Adwords,3,0
20260301,0,0,글라스키워드,Spigen DE Direct,Spigen S353 Smartwatch Ladestation Ständer Dockingstation Kompatibel mit Galaxy Watch 8 Classic 46mm (2025) | 8 40/44mm (2025) | 7 40/44mm (2024) | 6/6 Classic (2023) | 5/5 Pro (2022) - Schwarz,0900 Wireless Cases,0910 Cases,1,1,0,0,0,Spigen,AMAZON_DE,14.28,12_11_01_23_A_Galaxy S26 Series_GA Search_SubKeyword_hyomi,0,B0B6289PVB,Brand Halo,0,1,0,0,Wireless,0,Google Ads,2,0
20260301,1,0,S26_Announce,Spigen DE Direct,Spigen Ultra Hybrid MagFit ZeroOne Hülle für iPhone 14 Pro Max für MagSafe Magnetisch,0900 Wireless Cases,0910 Cases,0,0,0,0,0,Spigen,AMAZON_DE,0,"12_00_00_00_Instagram Story, Reels Ad _ demkt ",0,B0BBWRT9T1,Promoted,0,0,0,0,Wireless,0,Instagram,0,0
20260301,0,0,Google Ads_Search_RE,Spigen DE Direct,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPad A16 11. Generation 11 Zoll (2025), iPad 10. Generation 10.9 Zoll (2022), Schablone für Installation, Kristallklar, 9H Härte Folie",,,1,2,0,0,0,Spigen,AMAZON_DE,43.68,12_00_00_00_GoogleAds_DEMKT,0,B0BCSZGF7W,Brand Halo,0,1,0,0,Wireless,0,Google Adwords,4,0
20260301,0,0,Google Ads_Search_RE,Spigen DE Direct,"Spigen Valentinus MagFit MagSafe Kartenhalter 3-Karten Kompatibel mit iPhone 17/16/15, andere MagSafe-Modelle und Google Pixel 10-Serie mit Pixelsnap - Schwarz",0900 Wireless Cases,0910 Cases,0,0,0,0,0,Spigen,AMAZON_DE,0,12_00_00_00_GoogleAds_DEMKT,0,B0BGJT615B,Brand Halo,0,0,0,0,Wireless,0,Google Adwords,4,0
20260301,0,0,GalaxyS26_DemandGen,Spigen DE Direct,"Spigen Valentinus MagFit MagSafe Kartenhalter 3-Karten Kompatibel mit iPhone 17/16/15, andere MagSafe-Modelle und Google Pixel 10-Serie mit Pixelsnap - Schwarz",0900 Wireless Cases,0910 Cases,0,0,0,0,0,Spigen,AMAZON_DE,0,12_00_00_00_GoogleAds_DEMKT,0,B0BGJT615B,Brand Halo,0,0,0,0,Wireless,0,Google Ads,1,0
20260301,1,1,S26_Announce,Spigen DE Direct,Spigen Ultra Hybrid Hülle Kompatibel mit Samsung Galaxy S23 5G -Schwarz,,,0,0,14.28,1,0,Spigen,AMAZON_DE,0,"12_00_00_00_Instagram Story, Reels Ad _ demkt ",0,B0BJRMNQD8,Promoted,1,0,1,1,Electronics,0,Instagram,0,14.28
20260301,0,0,12_15_04_23_DE_Galaxy S26 시리즈 전품목 통합(EZ Fit Pro CC/AR/PRV/Optik)_GA Search_260225_yeseo,Spigen DE Direct,Spigen Ultra Hybrid Zero One Hülle Kompatibel mit Samsung Galaxy S23 Ultra 5G -Zero One,,,0,0,0,0,0,Spigen,AMAZON_DE,0,12_15_04_23_DE_Galaxy S26 시리즈 전품목 통합(EZ Fit Pro CC/AR/PRV/Optik)_GA Search_260225_yeseo,0,B0BJRYMHPY,Brand Halo,0,0,0,0,Electronics,0,Google Ads,1,0
